Region,Theta (θ),Intercept,Intercept Z,Gizi Kurang Koef,Gizi Kurang Z,Persentase Bayi dengan IMD Koef,Persentase Bayi dengan IMD Z,Rokok Perkapita Koef,Rokok Perkapita Z,Kepadatan Penduduk Koef,Kepadatan Penduduk Z,Air Minum Layak Koef,Air Minum Layak Z,Sanitasi Layak Koef,Sanitasi Layak Z
Pekalongan,1.85899397196839,6.02686464225027,33447.2306863876,0.000208774573097782,1.913099653873,-0.00437435932761048,-0.414198448887996,0.0865806795770724,1.91544552466838,0.0000932034982908859,2.18284779303047,0.00108835850692819,0.0689534565823159,-0.0015914027040001,-0.128140587816689
Pemalang,1.85898322443125,6.02686728975864,33360.7387736073,0.000202068768159726,1.94693428079763,-0.0043686023539147,-0.411447801738247,0.0860597230857046,1.97779289709278,0.0000955294662846626,2.40460326903579,0.0011704101717937,0.0739989857928254,-0.00142766786992157,-0.116384853664441
Tegal,1.85897114339555,6.02686836324534,33180.37217082,0.000198355441231609,1.97062948115759,-0.00434189178684886,-0.407944247823026,0.0854022423844162,2.00525610409395,0.0000964398339768018,2.52488730380311,0.00130545171231607,0.0822840322042017,-0.00139094319251127,-0.114094211721324
Brebes,1.85896726619981,6.02686857828602,33106.4642794566,0.000197375841033256,1.97707730823834,-0.00433094557406862,-0.406614720551504,0.0851813148354921,2.01100702920247,0.0000966330967213971,2.55528996668327,0.00135312951277308,0.0851801572729199,-0.00138945580062598,-0.114122337392535
Kota Magelang,1.85889869846558,6.02683418171523,34505.0178746669,0.000239695735092259,1.91750494834813,-0.00436484682131813,-0.418909235385135,0.0801679651552979,1.58547678048031,0.0000825237085818721,1.48914416683231,0.00153129885893464,0.0962633045759293,-0.00183037137355161,-0.140927328134541
Kota Surakarta,1.85883734547481,6.02680262552572,43179.2437700982,0.000255780373489007,2.12823763141796,-0.00442288378884998,-0.445634618417198,0.072466437501231,1.49019372345272,0.0000864316205305524,1.50274222088479,0.00131364824596346,0.0866859431567918,-0.000717553287014907,-0.0576223327709426
Kota Salatiga,1.85886360942279,6.02681819093909,37882.4428023663,0.000247721053098696,2.01085495176274,-0.00445839774412246,-0.436171472452236,0.0767505885432831,1.54574349058374,0.0000848951791844593,1.50851449047335,0.00136442588875872,0.0876728741643199,-0.00123841748700417,-0.0970929701727068
Kota Semarang,1.85887730880496,6.02682344306172,36026.3321072861,0.000244435058953033,1.94497657975291,-0.00448435734315183,-0.426088317702174,0.0782201483577057,1.55257302269233,0.0000852432107620647,1.50696247322293,0.001299875369987,0.0817590647291081,-0.00131551628469397,-0.101132535852795
Kota Pekalongan,1.85899037238776,6.02686349781154,33423.7618364736,0.000208545770942028,1.91192996624171,-0.00440595334454615,-0.414353050045202,0.0863864396296711,1.9131444398432,0.0000938227582142841,2.20379230665916,0.00104920296269447,0.0662244461087975,-0.00148635556847012,-0.119397161522191
Kota Tegal,1.85897161740202,6.02686835694233,33188.8503543705,0.00019846163119283,1.96994464167881,-0.00434245898588777,-0.408069004468327,0.0854290594572239,2.00469379192996,0.0000964121475890857,2.52137472479547,0.00130073053742824,0.0820020147096206,-0.0013925981641422,-0.114217595207641
Kulon Progo,1.85889829431757,6.02683546099335,34148.803072371,0.000239673585169107,1.90591608721528,-0.00432296299899214,-0.415189971048317,0.0801399211033951,1.56702797414983,0.0000813489476713655,1.45780283944607,0.00165914040696175,0.103555888685805,-0.0019814027898933,-0.151448493530487
Bantul,1.85887111972359,6.02682363804148,36564.0172514691,0.000245598377903523,1.97795403699018,-0.00437084365779972,-0.427868835162191,0.0776081662939691,1.53562291698782,0.000082623500660061,1.46492887418973,0.00156308456335173,0.0992915925429173,-0.00158016629034248,-0.122534429962758
Gunungkidul,1.85884477036738,6.0268092042636,40585.4376340833,0.000252583480920482,2.06836206988515,-0.00437236753300607,-0.436565481248304,0.0740646114279647,1.48693433561689,0.000084270564822229,1.46370897082704,0.0014572128868342,0.0943706339450672,-0.001068237699285,-0.0842332934241038
Sleman,1.85887396147927,6.02682445457239,36485.4497428243,0.000245024978718405,1.97853000394816,-0.00438671842605847,-0.429199016783381,0.0779042974453832,1.54968115564228,0.000082973464845072,1.48013623396793,0.00152498232566244,0.0971484415724807,-0.00156669611724058,-0.121880377664001
Kota Yogyakarta,1.85886831441116,6.02682199881787,37031.2410031375,0.00024631654840247,1.99225892176244,-0.004385672382558,-0.430739736453515,0.077301548419146,1.53829864617335,0.0000830641158388437,1.47522656556736,0.00152478856388038,0.0973555694563263,-0.00149990260335957,-0.11687485564329
Pacitan,1.85883121288794,6.02679589182956,45932.0141862028,0.000258901348995093,2.15580653925149,-0.00429470378079131,-0.433920179760047,0.0699370146193338,1.42517884787563,0.0000863519526212791,1.45104032264001,0.00135393475952038,0.0890414489309287,-0.000508746485461211,-0.040689301272164
Ponorogo,1.85883168090238,6.02678990862695,49244.6069239999,0.000262094009574853,2.21460761473184,-0.00426691042106913,-0.433488798466445,0.0676434912382089,1.40732758073265,0.0000885151295000247,1.46837124956419,0.00126321032767936,0.0843247029848167,-0.000154366281093104,-0.0125294307040699
Trenggalek,1.85883434395733,6.02678770917554,50267.4945587799,0.000263069833835857,2.21706086425957,-0.00419322836495813,-0.423533584307551,0.0664053052910305,1.3750050322735,0.0000889183168580778,1.4444404902463,0.00126489555315307,0.0840161152756732,-0.0000303490993280195,-0.00245103456480288
Tulungagung,1.85883689103972,6.02678643941013,50825.7643101894,0.0002637014463951,2.2185019350215,-0.00415444651171446,-0.417614911733991,0.0656268742926041,1.3567656249201,0.0000893892027281244,1.43348958523481,0.00125755463084696,0.0832957773141413,0.0000592622980146158,0.00477279771006505
Blitar,1.85884099106311,6.02678511493662,51242.5902880694,0.000264342901320833,2.21317743681139,-0.00409930787516385,-0.408421345145687,0.0646615640421879,1.33050404388373,0.0000899595874188908,1.41539132756058,0.00125224373153656,0.0824207476247585,0.000165475930290342,0.013243097664616
Kediri,1.85883917994225,6.02678538606604,51369.750492945,0.000264470802935979,2.22771642760813,-0.00415583297273556,-0.416726801256756,0.0650631378646095,1.351974706062,0.0000902342138328794,1.43970103758381,0.00123256946072339,0.081805957484546,0.000152358996661238,0.0122950758609132
Malang,1.85884992512456,6.02678343832197,51278.1046804444,0.00026522359685612,2.19032364607269,-0.0040075510071071,-0.390745727250778,0.0630911452616852,1.28261330074976,0.0000910913596603077,1.38133171481824,0.00124400466094424,0.0805956730104176,0.000339064924377792,0.0267109467759712
